9664 3 0
1 0.0000 0.0000 0.0000
2 0.0000 0.0000 0.0000
3 0.0000 0.0000 0.0000
4 0.0000 0.0000 0.0000
5 0.0000 0.0000 0.0000
6 0.0000 0.0000 0.0000
7 0.0000 0.0000 0.0000
8 0.0000 0.0000 0.0000
9 0.0000 0.0000 0.0000
10 0.0000 0.0000 0.0000
11 0.0000 0.0000 0.0000
12 0.0000 0.0000 0.0000
13 0.0000 0.0000 0.0000
14 0.0000 0.0000 0.0000
15 0.0000 0.0000 0.0000
16 0.0000 0.0000 0.0000
17 0.0000 0.0000 0.0000
18 0.0000 0.0000 0.0000
19 0.0000 0.0000 0.0000
20 0.0000 0.0000 0.0000
21 0.0000 0.0000 0.0000
22 0.0000 0.0000 0.0000
23 0.0000 0.0000 0.0000
24 0.0000 0.0000 0.0000
25 0.0000 0.0000 0.0000
26 0.0000 0.0000 0.0000
27 0.0000 0.0000 0.0000
28 0.0000 0.0000 0.0000
29 0.0000 0.0000 0.0000
30 0.0000 0.0000 0.0000
31 0.0000 0.0000 0.0000
32 0.0000 0.0000 0.0000
33 0.0000 0.0000 0.0000
34 0.0000 0.0000 0.0000
35 0.0000 0.0000 0.0000
36 0.0000 0.0000 0.0000
37 0.0000 0.0000 0.0000
38 0.0000 0.0000 0.0000
39 0.0000 0.0000 0.0000
40 0.0000 0.0000 0.0000
41 0.0000 0.0000 0.0000
42 0.0000 0.0000 0.0000
43 0.0000 0.0000 0.0000
44 0.0000 0.0000 0.0000
45 0.0000 0.0000 0.0000
46 0.0000 0.0000 0.0000
47 0.0000 0.0000 0.0000
48 0.0000 0.0000 0.0000
49 0.0000 0.0000 0.0000
50 0.0000 0.0000 0.0000
51 0.0000 0.0000 0.0000
52 0.0000 0.0000 0.0000
53 0.0000 0.0000 0.0000
54 0.0000 0.0000 0.0000
55 0.0000 0.0000 0.0000
56 0.0000 0.0000 0.0000
57 0.0000 0.0000 0.0000
58 0.0000 0.0000 0.0000
59 0.0000 0.0000 0.0000
60 0.0000 0.0000 0.0000
61 0.0000 0.0000 0.0000
62 0.0000 0.0000 0.0000
63 0.0000 0.0000 0.0000
64 0.0000 0.0000 0.0000
65 0.0333 0.0425 0.0000
66 0.0333 0.0423 0.0042
67 0.0333 0.0417 0.0083
68 0.0333 0.0407 0.0123
69 0.0333 0.0393 0.0163
70 0.0333 0.0375 0.0200
71 0.0333 0.0353 0.0236
72 0.0333 0.0329 0.0270
73 0.0333 0.0301 0.0301
74 0.0333 0.0270 0.0329
75 0.0333 0.0236 0.0353
76 0.0333 0.0200 0.0375
77 0.0333 0.0163 0.0393
78 0.0333 0.0123 0.0407
79 0.0333 0.0083 0.0417
80 0.0333 0.0042 0.0423
81 0.0333 0.0000 0.0425
82 0.0333 -0.0042 0.0423
83 0.0333 -0.0083 0.0417
84 0.0333 -0.0123 0.0407
85 0.0333 -0.0163 0.0393
86 0.0333 -0.0200 0.0375
87 0.0333 -0.0236 0.0353
88 0.0333 -0.0270 0.0329
89 0.0333 -0.0301 0.0301
90 0.0333 -0.0329 0.0270
91 0.0333 -0.0353 0.0236
92 0.0333 -0.0375 0.0200
93 0.0333 -0.0393 0.0163
94 0.0333 -0.0407 0.0123
95 0.0333 -0.0417 0.0083
96 0.0333 -0.0423 0.0042
97 0.0333 -0.0425 0.0000
98 0.0333 -0.0423 -0.0042
99 0.0333 -0.0417 -0.0083
100 0.0333 -0.0407 -0.0123
101 0.0333 -0.0393 -0.0163
102 0.0333 -0.0375 -0.0200
103 0.0333 -0.0353 -0.0236
104 0.0333 -0.0329 -0.0270
105 0.0333 -0.0301 -0.0301
106 0.0333 -0.0270 -0.0329
107 0.0333 -0.0236 -0.0353
108 0.0333 -0.0200 -0.0375
109 0.0333 -0.0163 -0.0393
110 0.0333 -0.0123 -0.0407
111 0.0333 -0.0083 -0.0417
112 0.0333 -0.0042 -0.0423
113 0.0333 -0.0000 -0.0425
114 0.0333 0.0042 -0.0423
115 0.0333 0.0083 -0.0417
116 0.0333 0.0123 -0.0407
117 0.0333 0.0163 -0.0393
118 0.0333 0.0200 -0.0375
119 0.0333 0.0236 -0.0353
120 0.0333 0.0270 -0.0329
121 0.0333 0.0301 -0.0301
122 0.0333 0.0329 -0.0270
123 0.0333 0.0353 -0.0236
124 0.0333 0.0375 -0.0200
125 0.0333 0.0393 -0.0163
126 0.0333 0.0407 -0.0123
127 0.0333 0.0417 -0.0083
128 0.0333 0.0423 -0.0042
129 0.0667 0.0815 0.0000
130 0.0667 0.0811 0.0080
131 0.0667 0.0799 0.0159
132 0.0667 0.0780 0.0237
133 0.0667 0.0753 0.0312
134 0.0667 0.0719 0.0384
135 0.0667 0.0678 0.0453
136 0.0667 0.0630 0.0517
137 0.0667 0.0576 0.0576
138 0.0667 0.0517 0.0630
139 0.0667 0.0453 0.0678
140 0.0667 0.0384 0.0719
141 0.0667 0.0312 0.0753
142 0.0667 0.0237 0.0780
143 0.0667 0.0159 0.0799
144 0.0667 0.0080 0.0811
145 0.0667 0.0000 0.0815
146 0.0667 -0.0080 0.0811
147 0.0667 -0.0159 0.0799
148 0.0667 -0.0237 0.0780
149 0.0667 -0.0312 0.0753
150 0.0667 -0.0384 0.0719
151 0.0667 -0.0453 0.0678
152 0.0667 -0.0517 0.0630
153 0.0667 -0.0576 0.0576
154 0.0667 -0.0630 0.0517
155 0.0667 -0.0678 0.0453
156 0.0667 -0.0719 0.0384
157 0.0667 -0.0753 0.0312
158 0.0667 -0.0780 0.0237
159 0.0667 -0.0799 0.0159
160 0.0667 -0.0811 0.0080
161 0.0667 -0.0815 0.0000
162 0.0667 -0.0811 -0.0080
163 0.0667 -0.0799 -0.0159
164 0.0667 -0.0780 -0.0237
165 0.0667 -0.0753 -0.0312
166 0.0667 -0.0719 -0.0384
167 0.0667 -0.0678 -0.0453
168 0.0667 -0.0630 -0.0517
169 0.0667 -0.0576 -0.0576
170 0.0667 -0.0517 -0.0630
171 0.0667 -0.0453 -0.0678
172 0.0667 -0.0384 -0.0719
173 0.0667 -0.0312 -0.0753
174 0.0667 -0.0237 -0.0780
175 0.0667 -0.0159 -0.0799
176 0.0667 -0.0080 -0.0811
177 0.0667 -0.0000 -0.0815
178 0.0667 0.0080 -0.0811
179 0.0667 0.0159 -0.0799
180 0.0667 0.0237 -0.0780
181 0.0667 0.0312 -0.0753
182 0.0667 0.0384 -0.0719
183 0.0667 0.0453 -0.0678
184 0.0667 0.0517 -0.0630
185 0.0667 0.0576 -0.0576
186 0.0667 0.0630 -0.0517
187 0.0667 0.0678 -0.0453
188 0.0667 0.0719 -0.0384
189 0.0667 0.0753 -0.0312
190 0.0667 0.0780 -0.0237
191 0.0667 0.0799 -0.0159
192 0.0667 0.0811 -0.0080
193 0.1000 0.1175 0.0000
194 0.1000 0.1169 0.0115
195 0.1000 0.1152 0.0229
196 0.1000 0.1124 0.0341
197 0.1000 0.1085 0.0450
198 0.1000 0.1036 0.0554
199 0.1000 0.0977 0.0653
200 0.1000 0.0908 0.0745
201 0.1000 0.0831 0.0831
202 0.1000 0.0745 0.0908
203 0.1000 0.0653 0.0977
204 0.1000 0.0554 0.1036
205 0.1000 0.0450 0.1085
206 0.1000 0.0341 0.1124
207 0.1000 0.0229 0.1152
208 0.1000 0.0115 0.1169
209 0.1000 0.0000 0.1175
210 0.1000 -0.0115 0.1169
211 0.1000 -0.0229 0.1152
212 0.1000 -0.0341 0.1124
213 0.1000 -0.0450 0.1085
214 0.1000 -0.0554 0.1036
215 0.1000 -0.0653 0.0977
216 0.1000 -0.0745 0.0908
217 0.1000 -0.0831 0.0831
218 0.1000 -0.0908 0.0745
219 0.1000 -0.0977 0.0653
220 0.1000 -0.1036 0.0554
221 0.1000 -0.1085 0.0450
222 0.1000 -0.1124 0.0341
223 0.1000 -0.1152 0.0229
224 0.1000 -0.1169 0.0115
225 0.1000 -0.1175 0.0000
226 0.1000 -0.1169 -0.0115
227 0.1000 -0.1152 -0.0229
228 0.1000 -0.1124 -0.0341
229 0.1000 -0.1085 -0.0450
230 0.1000 -0.1036 -0.0554
231 0.1000 -0.0977 -0.0653
232 0.1000 -0.0908 -0.0745
233 0.1000 -0.0831 -0.0831
234 0.1000 -0.0745 -0.0908
235 0.1000 -0.0653 -0.0977
236 0.1000 -0.0554 -0.1036
237 0.1000 -0.0450 -0.1085
238 0.1000 -0.0341 -0.1124
239 0.1000 -0.0229 -0.1152
240 0.1000 -0.0115 -0.1169
241 0.1000 -0.0000 -0.1175
242 0.1000 0.0115 -0.1169
243 0.1000 0.0229 -0.1152
244 0.1000 0.0341 -0.1124
245 0.1000 0.0450 -0.1085
246 0.1000 0.0554 -0.1036
247 0.1000 0.0653 -0.0977
248 0.1000 0.0745 -0.0908
249 0.1000 0.0831 -0.0831
250 0.1000 0.0908 -0.0745
251 0.1000 0.0977 -0.0653
252 0.1000 0.1036 -0.0554
253 0.1000 0.1085 -0.0450
254 0.1000 0.1124 -0.0341
255 0.1000 0.1152 -0.0229
256 0.1000 0.1169 -0.0115
257 0.1333 0.1508 0.0000
258 0.1333 0.1500 0.0148
259 0.1333 0.1479 0.0294
260 0.1333 0.1443 0.0438
261 0.1333 0.1393 0.0577
262 0.1333 0.1330 0.0711
263 0.1333 0.1254 0.0838
264 0.1333 0.1165 0.0956
265 0.1333 0.1066 0.1066
266 0.1333 0.0956 0.1165
267 0.1333 0.0838 0.1254
268 0.1333 0.0711 0.1330
269 0.1333 0.0577 0.1393
270 0.1333 0.0438 0.1443
271 0.1333 0.0294 0.1479
272 0.1333 0.0148 0.1500
273 0.1333 0.0000 0.1508
274 0.1333 -0.0148 0.1500
275 0.1333 -0.0294 0.1479
276 0.1333 -0.0438 0.1443
277 0.1333 -0.0577 0.1393
278 0.1333 -0.0711 0.1330
279 0.1333 -0.0838 0.1254
280 0.1333 -0.0956 0.1165
281 0.1333 -0.1066 0.1066
282 0.1333 -0.1165 0.0956
283 0.1333 -0.1254 0.0838
284 0.1333 -0.1330 0.0711
285 0.1333 -0.1393 0.0577
286 0.1333 -0.1443 0.0438
287 0.1333 -0.1479 0.0294
288 0.1333 -0.1500 0.0148
289 0.1333 -0.1508 0.0000
290 0.1333 -0.1500 -0.0148
291 0.1333 -0.1479 -0.0294
292 0.1333 -0.1443 -0.0438
293 0.1333 -0.1393 -0.0577
294 0.1333 -0.1330 -0.0711
295 0.1333 -0.1254 -0.0838
296 0.1333 -0.1165 -0.0956
297 0.1333 -0.1066 -0.1066
298 0.1333 -0.0956 -0.1165
299 0.1333 -0.0838 -0.1254
300 0.1333 -0.0711 -0.1330
301 0.1333 -0.0577 -0.1393
302 0.1333 -0.0438 -0.1443
303 0.1333 -0.0294 -0.1479
304 0.1333 -0.0148 -0.1500
305 0.1333 -0.0000 -0.1508
306 0.1333 0.0148 -0.1500
307 0.1333 0.0294 -0.1479
308 0.1333 0.0438 -0.1443
309 0.1333 0.0577 -0.1393
310 0.1333 0.0711 -0.1330
311 0.1333 0.0838 -0.1254
312 0.1333 0.0956 -0.1165
313 0.1333 0.1066 -0.1066
314 0.1333 0.1165 -0.0956
315 0.1333 0.1254 -0.0838
316 0.1333 0.1330 -0.0711
317 0.1333 0.1393 -0.0577
318 0.1333 0.1443 -0.0438
319 0.1333 0.1479 -0.0294
320 0.1333 0.1500 -0.0148
321 0.1667 0.1817 0.0000
322 0.1667 0.1808 0.0178
323 0.1667 0.1782 0.0354
324 0.1667 0.1739 0.0527
325 0.1667 0.1679 0.0695
326 0.1667 0.1602 0.0857
327 0.1667 0.1511 0.1009
328 0.1667 0.1405 0.1153
329 0.1667 0.1285 0.1285
330 0.1667 0.1153 0.1405
331 0.1667 0.1009 0.1511
332 0.1667 0.0857 0.1602
333 0.1667 0.0695 0.1679
334 0.1667 0.0527 0.1739
335 0.1667 0.0354 0.1782
336 0.1667 0.0178 0.1808
337 0.1667 0.0000 0.1817
338 0.1667 -0.0178 0.1808
339 0.1667 -0.0354 0.1782
340 0.1667 -0.0527 0.1739
341 0.1667 -0.0695 0.1679
342 0.1667 -0.0857 0.1602
343 0.1667 -0.1009 0.1511
344 0.1667 -0.1153 0.1405
345 0.1667 -0.1285 0.1285
346 0.1667 -0.1405 0.1153
347 0.1667 -0.1511 0.1009
348 0.1667 -0.1602 0.0857
349 0.1667 -0.1679 0.0695
350 0.1667 -0.1739 0.0527
351 0.1667 -0.1782 0.0354
352 0.1667 -0.1808 0.0178
353 0.1667 -0.1817 0.0000
354 0.1667 -0.1808 -0.0178
355 0.1667 -0.1782 -0.0354
356 0.1667 -0.1739 -0.0527
357 0.1667 -0.1679 -0.0695
358 0.1667 -0.1602 -0.0857
359 0.1667 -0.1511 -0.1009
360 0.1667 -0.1405 -0.1153
361 0.1667 -0.1285 -0.1285
362 0.1667 -0.1153 -0.1405
363 0.1667 -0.1009 -0.1511
364 0.1667 -0.0857 -0.1602
365 0.1667 -0.0695 -0.1679
366 0.1667 -0.0527 -0.1739
367 0.1667 -0.0354 -0.1782
368 0.1667 -0.0178 -0.1808
369 0.1667 -0.0000 -0.1817
370 0.1667 0.0178 -0.1808
371 0.1667 0.0354 -0.1782
372 0.1667 0.0527 -0.1739
373 0.1667 0.0695 -0.1679
374 0.1667 0.0857 -0.1602
375 0.1667 0.1009 -0.1511
376 0.1667 0.1153 -0.1405
377 0.1667 0.1285 -0.1285
378 0.1667 0.1405 -0.1153
379 0.1667 0.1511 -0.1009
380 0.1667 0.1602 -0.0857
381 0.1667 0.1679 -0.0695
382 0.1667 0.1739 -0.0527
383 0.1667 0.1782 -0.0354
384 0.1667 0.1808 -0.0178
385 0.2000 0.2105 0.0000
386 0.2000 0.2095 0.0206
387 0.2000 0.2064 0.0411
388 0.2000 0.2014 0.0611
389 0.2000 0.1944 0.0805
390 0.2000 0.1856 0.0992
391 0.2000 0.1750 0.1169
392 0.2000 0.1627 0.1335
393 0.2000 0.1488 0.1488
394 0.2000 0.1335 0.1627
395 0.2000 0.1169 0.1750
396 0.2000 0.0992 0.1856
397 0.2000 0.0805 0.1944
